2026-03-05 01:15:31 [INFO] autosecaudit - LLM router enabled: primary=deepseek-reasoner, fallbacks=['openai/deepseek-chat'], default_provider=openai
2026-03-05 01:15:31 [INFO] autosecaudit - [agent] run_start | start | budget=999, max_iterations=10, timeout=1800.0s, resumed=False
2026-03-05 01:15:31 [INFO] autosecaudit - LLM request via provider=openai model=deepseek-reasoner
2026-03-05 01:16:27 [INFO] autosecaudit - [subdomain_enum_passive] action_start | start | A1 target=edu.360-24.com
2026-03-05 01:16:30 [INFO] autosecaudit - [subdomain_enum_passive] action_end | success | A1 status=completed duration_ms=3163
2026-03-05 01:16:30 [INFO] autosecaudit - [nmap_scan] action_start | start | A2 target=edu.360-24.com
2026-03-05 01:16:44 [INFO] autosecaudit - [nmap_scan] action_end | success | A2 status=completed duration_ms=13324
2026-03-05 01:16:44 [INFO] autosecaudit - [passive_config_audit] action_start | start | A1 target=https://edu.360-24.com:443
2026-03-05 01:17:05 [INFO] autosecaudit - [passive_config_audit] action_end | success | A1 status=completed duration_ms=20603
2026-03-05 01:17:05 [INFO] autosecaudit - [passive_config_audit] action_start | start | A12 target=http://edu.360-24.com:80
2026-03-05 01:17:24 [INFO] autosecaudit - [passive_config_audit] action_end | success | A12 status=completed duration_ms=19007
2026-03-05 01:17:24 [INFO] autosecaudit - [tech_stack_fingerprint] action_start | start | A2 target=https://edu.360-24.com:443/
2026-03-05 01:17:26 [INFO] autosecaudit - [tech_stack_fingerprint] action_end | error | A2 status=error duration_ms=2538
2026-03-05 01:17:26 [INFO] autosecaudit - [tech_stack_fingerprint] action_start | start | A13 target=http://edu.360-24.com:80/
2026-03-05 01:17:28 [INFO] autosecaudit - [tech_stack_fingerprint] action_end | success | A13 status=completed duration_ms=2356
2026-03-05 01:17:28 [INFO] autosecaudit - [git_exposure_check] action_start | start | A3 target=https://edu.360-24.com:443/
2026-03-05 01:17:38 [INFO] autosecaudit - [git_exposure_check] action_end | success | A3 status=completed duration_ms=9692
2026-03-05 01:17:38 [INFO] autosecaudit - [source_map_detector] action_start | start | A4 target=https://edu.360-24.com:443/
2026-03-05 01:17:41 [INFO] autosecaudit - [source_map_detector] action_end | error | A4 status=error duration_ms=2355
2026-03-05 01:17:41 [INFO] autosecaudit - [security_txt_check] action_start | start | A5 target=https://edu.360-24.com:443/
2026-03-05 01:17:43 [INFO] autosecaudit - [security_txt_check] action_end | error | A5 status=error duration_ms=2522
2026-03-05 01:17:43 [INFO] autosecaudit - [login_form_detector] action_start | start | A6 target=https://edu.360-24.com:443/
2026-03-05 01:17:45 [INFO] autosecaudit - [login_form_detector] action_end | error | A6 status=error duration_ms=2350
2026-03-05 01:17:45 [INFO] autosecaudit - [login_form_detector] action_start | start | A14 target=http://edu.360-24.com:80/
2026-03-05 01:17:48 [INFO] autosecaudit - [login_form_detector] action_end | success | A14 status=completed duration_ms=2358
2026-03-05 01:17:48 [INFO] autosecaudit - [http_security_headers] action_start | start | A7 target=https://edu.360-24.com:443/
2026-03-05 01:17:50 [INFO] autosecaudit - [http_security_headers] action_end | error | A7 status=error duration_ms=2368
2026-03-05 01:17:50 [INFO] autosecaudit - [ssl_expiry_check] action_start | start | A8 target=https://edu.360-24.com:443/
2026-03-05 01:17:53 [INFO] autosecaudit - [ssl_expiry_check] action_end | error | A8 status=error duration_ms=2342
2026-03-05 01:17:53 [INFO] autosecaudit - [ssl_expiry_check] action_start | start | A15 target=https://edu.360-24.com:8443/
2026-03-05 01:17:58 [INFO] autosecaudit - [ssl_expiry_check] action_end | error | A15 status=error duration_ms=5017
2026-03-05 01:17:58 [INFO] autosecaudit - [js_endpoint_extractor] action_start | start | A9 target=https://edu.360-24.com:443/
2026-03-05 01:18:00 [INFO] autosecaudit - [js_endpoint_extractor] action_end | error | A9 status=error duration_ms=2364
2026-03-05 01:18:00 [INFO] autosecaudit - [error_page_analyzer] action_start | start | A10 target=https://edu.360-24.com:443/
2026-03-05 01:18:02 [INFO] autosecaudit - [error_page_analyzer] action_end | error | A10 status=error duration_ms=2375
