2026-03-06 12:03:45 [INFO] autosecaudit - LLM router enabled: primary=deepseek-reasoner, fallbacks=['openai/deepseek-chat'], default_provider=openai
2026-03-06 12:03:45 [INFO] autosecaudit - [agent] run_start | start | budget=999, max_iterations=10, timeout=1800.0s, resumed=False
2026-03-06 12:03:45 [INFO] autosecaudit - LLM request via provider=openai model=deepseek-reasoner
2026-03-06 12:04:27 [INFO] autosecaudit - [subdomain_enum_passive] action_start | start | A1 target=lynolz.com
2026-03-06 12:04:37 [INFO] autosecaudit - [subdomain_enum_passive] action_end | success | A1 status=completed duration_ms=9408
2026-03-06 12:04:37 [INFO] autosecaudit - [nmap_scan] action_start | start | A2 target=lynolz.com
2026-03-06 12:04:49 [INFO] autosecaudit - [nmap_scan] action_end | success | A2 status=completed duration_ms=12194
2026-03-06 12:04:49 [INFO] autosecaudit - [passive_config_audit] action_start | start | A1 target=https://lynolz.com:443
2026-03-06 12:05:00 [INFO] autosecaudit - [passive_config_audit] action_end | success | A1 status=completed duration_ms=10384
2026-03-06 12:05:00 [INFO] autosecaudit - [passive_config_audit] action_start | start | A12 target=http://lynolz.com:80
2026-03-06 12:05:17 [INFO] autosecaudit - [passive_config_audit] action_end | success | A12 status=completed duration_ms=17181
2026-03-06 12:05:17 [INFO] autosecaudit - [tech_stack_fingerprint] action_start | start | A2 target=https://lynolz.com:443/
2026-03-06 12:05:18 [INFO] autosecaudit - [tech_stack_fingerprint] action_end | success | A2 status=completed duration_ms=1146
2026-03-06 12:05:18 [INFO] autosecaudit - [tech_stack_fingerprint] action_start | start | A13 target=http://lynolz.com:80/
2026-03-06 12:05:20 [INFO] autosecaudit - [tech_stack_fingerprint] action_end | success | A13 status=completed duration_ms=1958
2026-03-06 12:05:20 [INFO] autosecaudit - [git_exposure_check] action_start | start | A3 target=https://lynolz.com:443/
2026-03-06 12:05:23 [INFO] autosecaudit - [git_exposure_check] action_end | success | A3 status=completed duration_ms=2841
2026-03-06 12:05:23 [INFO] autosecaudit - [source_map_detector] action_start | start | A4 target=https://lynolz.com:443/
2026-03-06 12:05:34 [INFO] autosecaudit - [source_map_detector] action_end | success | A4 status=completed duration_ms=11270
2026-03-06 12:05:34 [INFO] autosecaudit - [security_txt_check] action_start | start | A5 target=https://lynolz.com:443/
2026-03-06 12:05:36 [INFO] autosecaudit - [security_txt_check] action_end | success | A5 status=completed duration_ms=1553
2026-03-06 12:05:36 [INFO] autosecaudit - [login_form_detector] action_start | start | A6 target=https://lynolz.com:443/
2026-03-06 12:05:36 [INFO] autosecaudit - [login_form_detector] action_end | success | A6 status=completed duration_ms=813
2026-03-06 12:05:36 [INFO] autosecaudit - [login_form_detector] action_start | start | A14 target=http://lynolz.com:80/
2026-03-06 12:05:38 [INFO] autosecaudit - [login_form_detector] action_end | success | A14 status=completed duration_ms=1308
2026-03-06 12:05:38 [INFO] autosecaudit - [http_security_headers] action_start | start | A7 target=https://lynolz.com:443/
2026-03-06 12:05:39 [INFO] autosecaudit - [http_security_headers] action_end | success | A7 status=completed duration_ms=1048
2026-03-06 12:05:39 [INFO] autosecaudit - [ssl_expiry_check] action_start | start | A8 target=https://lynolz.com:443/
2026-03-06 12:05:39 [INFO] autosecaudit - [ssl_expiry_check] action_end | success | A8 status=completed duration_ms=519
2026-03-06 12:05:39 [INFO] autosecaudit - [ssl_expiry_check] action_start | start | A15 target=https://lynolz.com:8443/
