2026-03-06 17:32:40 [INFO] autosecaudit - LLM router enabled: primary=deepseek-reasoner, fallbacks=['openai/deepseek-chat'], default_provider=openai
2026-03-06 17:32:41 [INFO] autosecaudit - [agent] run_start | start | budget=999, max_iterations=10, timeout=1800.0s, resumed=False
2026-03-06 17:32:41 [INFO] autosecaudit - [subdomain_enum_passive] action_start | start | A1 target=0x6288.com
2026-03-06 17:32:48 [INFO] autosecaudit - [subdomain_enum_passive] action_end | success | A1 status=completed duration_ms=7264
2026-03-06 17:32:48 [INFO] autosecaudit - [nmap_scan] action_start | start | A2 target=0x6288.com
2026-03-06 17:33:00 [INFO] autosecaudit - [nmap_scan] action_end | success | A2 status=completed duration_ms=12366
2026-03-06 17:33:00 [INFO] autosecaudit - [dns_zone_audit] action_start | start | A3 target=0x6288.com
2026-03-06 17:33:01 [INFO] autosecaudit - [dns_zone_audit] action_end | success | A3 status=completed duration_ms=7
2026-03-06 17:33:01 [INFO] autosecaudit - [passive_config_audit] action_start | start | A1 target=https://0x6288.com:443
2026-03-06 17:33:16 [INFO] autosecaudit - [passive_config_audit] action_end | success | A1 status=completed duration_ms=15264
2026-03-06 17:33:16 [INFO] autosecaudit - [tech_stack_fingerprint] action_start | start | A2 target=https://0x6288.com:443/
2026-03-06 17:33:17 [INFO] autosecaudit - [tech_stack_fingerprint] action_end | success | A2 status=completed duration_ms=1242
2026-03-06 17:33:17 [INFO] autosecaudit - [git_exposure_check] action_start | start | A3 target=https://0x6288.com:443/
2026-03-06 17:33:25 [INFO] autosecaudit - [git_exposure_check] action_end | success | A3 status=completed duration_ms=7968
2026-03-06 17:33:25 [INFO] autosecaudit - [source_map_detector] action_start | start | A4 target=https://0x6288.com:443/
2026-03-06 17:33:31 [INFO] autosecaudit - [source_map_detector] action_end | success | A4 status=completed duration_ms=5615
2026-03-06 17:33:31 [INFO] autosecaudit - [security_txt_check] action_start | start | A5 target=https://0x6288.com:443/
2026-03-06 17:33:33 [INFO] autosecaudit - [security_txt_check] action_end | success | A5 status=completed duration_ms=1766
2026-03-06 17:33:33 [INFO] autosecaudit - [login_form_detector] action_start | start | A6 target=https://0x6288.com:443/
2026-03-06 17:33:35 [INFO] autosecaudit - [login_form_detector] action_end | success | A6 status=completed duration_ms=1991
2026-03-06 17:33:35 [INFO] autosecaudit - [http_security_headers] action_start | start | A7 target=https://0x6288.com:443/
2026-03-06 17:33:36 [INFO] autosecaudit - [http_security_headers] action_end | success | A7 status=completed duration_ms=939
2026-03-06 17:33:36 [INFO] autosecaudit - [ssl_expiry_check] action_start | start | A8 target=https://0x6288.com:443/
2026-03-06 17:33:36 [INFO] autosecaudit - [ssl_expiry_check] action_end | success | A8 status=completed duration_ms=570
2026-03-06 17:33:36 [INFO] autosecaudit - [js_endpoint_extractor] action_start | start | A9 target=https://0x6288.com:443/
2026-03-06 17:33:38 [INFO] autosecaudit - [js_endpoint_extractor] action_end | success | A9 status=completed duration_ms=1223
2026-03-06 17:33:38 [INFO] autosecaudit - [reverse_dns_probe] action_start | start | A10 target=0x6288.com
2026-03-06 17:33:54 [INFO] autosecaudit - [reverse_dns_probe] action_end | success | A10 status=completed duration_ms=16011
2026-03-06 17:33:54 [INFO] autosecaudit - [error_page_analyzer] action_start | start | A11 target=https://0x6288.com:443/
2026-03-06 17:33:55 [INFO] autosecaudit - [error_page_analyzer] action_end | success | A11 status=completed duration_ms=1240
2026-03-06 17:33:55 [INFO] autosecaudit - [tls_service_probe] action_start | start | A12 target=https://0x6288.com:443/
2026-03-06 17:33:56 [INFO] autosecaudit - [tls_service_probe] action_end | success | A12 status=completed duration_ms=1022
